epoch,iou_score,loss,lr,val_iou_score,val_loss
0,0.4939631223678589,0.5455774664878845,1e-04,0.5499734878540039,0.48790860176086426
1,0.8971167802810669,0.3931768536567688,1e-04,1.0293114185333252,0.3496525287628174
2,1.4542094469070435,0.2598627507686615,1e-04,1.814789056777954,0.22899727523326874
3,2.4967286586761475,0.09973462671041489,1e-04,3.3525993824005127,0.07349548488855362
4,3.4565513134002686,0.04642244428396225,1e-04,3.8608579635620117,-0.028230972588062286
5,4.101318359375,-0.03652422875165939,1e-04,3.675107002258301,0.039125554263591766
6,5.114923000335693,-0.07250029593706131,1e-04,6.563328742980957,0.1250155121088028
7,7.35397481918335,-0.15545213222503662,5e-05,8.96834945678711,-0.13451075553894043
8,7.477548122406006,-0.18299983441829681,5e-05,11.841064453125,-0.15117086470127106
9,10.067981719970703,-0.22212862968444824,5e-05,6.572712421417236,-0.12041807919740677
10,9.105195045471191,-0.1827155202627182,5e-05,12.303102493286133,-0.10718425363302231
11,10.94107437133789,-0.2518579959869385,2.5e-05,14.193202018737793,-0.16168692708015442
12,12.664058685302734,-0.23364441096782684,2.5e-05,13.83874225616455,-0.1989222764968872
13,12.025010108947754,-0.24474406242370605,2.5e-05,18.424739837646484,-0.2439967393875122
14,12.7294921875,-0.24570593237876892,2.5e-05,17.421985626220703,-0.2388743758201599
15,15.513184547424316,-0.2885061204433441,2.5e-05,19.949970245361328,-0.1259981393814087
16,16.20604133605957,-0.2804082930088043,1.25e-05,21.24108123779297,-0.18720680475234985
